cell,lon,lat,range,updated
106936067,-5.9557,37.4125,1000,1757449682
205024011,-2.9701,43.2749,4943,1759591563
22375171,2.0625,41.2903,3145,1750016942
218995212,-0.5253,38.3314,4049,1752961622
218985227,-0.51,38.3344,8235,1752961622
219044107,-0.4989,38.3374,1000,1752961622
219833611,-0.4928,38.3363,4674,1743918725
218983179,-0.4929,38.3373,3487,1743918725
72911874,-3.7139,40.4293,1428,1744050061
218994699,-0.4671,38.3593,1569,1743918726
218982668,-0.5097,38.3174,3423,1743918725
72911875,-3.7168,40.4321,1000,1744050061
20496660,2.1693,41.3866,1000,1734478806
20492830,2.1693,41.3882,1000,1734478806
20492820,2.1739,41.3882,1000,1718613327
84610917,-5.8319,43.3743,1039,1716472686
13500416,2.1296,41.359,1000,1726686724
161035,-3.7266,40.3216,1205,1744640770
987914,-3.7374,40.3059,8790,1744640770
218983692,-0.4874,38.3407,3001,1743918725
987659,-3.7109,40.3231,6616,1715639762
218982667,-0.4861,38.3414,1000,1743918725
218989066,-0.4546,38.3756,2630,1752961623
219038474,-0.5303,38.358,1996,1735593619
131330,-3.6662,40.4609,1143,1759066682
29441,-3.667,40.459,500,1759054322
219038476,-0.5325,38.334,907,1752961622
218993932,-0.5435,38.3397,1932,1752961622
218993930,-0.5313,38.3655,2225,1735593619
47104,-3.6498,40.4863,802,1736929921
12879104,2.1497,41.3764,7619,1725099856
74624771,-4.5065,36.7329,2140,1757449750
73780737,-3.6491,40.3803,5178,1760941275
12954113,2.1333,41.3784,500,1750146603
76805643,-15.4143,28.0552,3555,1721546709
73449986,-3.5773,40.4639,1000,1744148102
139786,-3.6698,40.4917,1000,1759562942
71698708,-3.6109,40.5442,1000,1715355488
71698718,-3.6139,40.541,9724,1717523163
74294530,-4.4148,36.7196,6555,1744904101
206185483,-1.9826,43.3158,3265,1727512768
219860748,-0.0849,39.9846,1527,1744022463
219862540,-0.0437,39.9765,9393,1744193342
72246787,-3.6278,40.396,1000,1760941275
84609125,-5.8551,43.3634,500,1746643262
74733057,-4.4795,36.7151,769,1757449752
74756098,-4.3606,36.7314,4531,1757852419
51921666,-1.9689,43.2846,7480,1755539462
64257291,2.6463,39.5696,1000,1729114034
20839169,2.1571,41.3885,1000,1754500621
20738308,2.1684,41.3916,1056,1754500621
74681857,-4.4584,36.7106,1000,1757852462
66304779,2.652,39.5709,4761,1729114028
71700500,-3.6606,40.5109,2091,1751823242
20505876,2.1167,41.3615,2982,1737926162
20496662,2.1651,41.387,9637,1733504942
218983947,-0.4733,38.3499,1244,1743918725
71686410,-3.6558,40.5223,2829,1760784560
51691267,-1.9771,43.3036,1000,1714408141
58891039,-3.7318,38.0723,5258,1723388603
64000779,2.6532,39.576,1000,1729114034
64003595,2.6386,39.573,1000,1729114032
72914178,-3.595,40.5578,7070,1722768782
64007434,2.6784,39.5705,1021,1730793322
64005899,2.6376,39.5815,6957,1729114032
64051210,2.6529,39.5812,1228,1729114032
243724,-3.726,40.3333,3401,1744640771
161034,-3.7274,40.3262,2608,1744640771
64051212,2.6423,39.5759,2237,1729114032
64051467,2.6544,39.5846,1000,1729114032
64257290,2.6493,39.5669,500,1729114031
64184330,2.6576,39.5668,5524,1729114034
121140993,-4.7053,41.6162,1207,1745233028
71686420,-3.6571,40.5115,705,1760784555
71828500,-3.6443,40.5303,500,1760784490
219833612,-0.4885,38.3397,4534,1743918725
19251969,2.7342,39.5611,5847,1714072456
71686430,-3.659,40.5156,3033,1760784560
73798666,-3.6965,40.4213,1000,1732906204
19763971,2.6238,39.579,3294,1713979709
71791134,-3.6908,40.4254,1000,1738439101
71890964,-3.5769,40.3673,1660,1760784551
20570654,2.3207,41.4822,7668,1756049222
71828490,-3.6407,40.5328,656,1760784490
71775774,-3.6846,40.4204,511,1732906204
20662787,2.1629,41.3593,5716,1750016943
20685062,2.1941,41.3864,1000,1750016944
21633798,2.1851,41.3959,500,1750016944
20636933,2.1842,41.3934,1000,1750016944
21838849,2.0974,41.337,3869,1750016943
22733315,2.1042,41.3407,4558,1750016943
22733313,2.1103,41.3414,4190,1750016943
71697438,-3.6634,40.4984,503,1760784560
71712542,-3.6121,40.3886,509,1760784551
219837196,-0.5722,38.3102,3232,1735593619
21532931,2.0682,41.3075,1180,1750016942
21532930,2.0598,41.3026,4015,1750016942
20916993,2.1853,41.3858,4848,1750016944
20685572,2.1831,41.4027,1918,1750016944
20662786,2.1706,41.3649,500,1750016943
21687809,2.1048,41.5009,3527,1745229843
20944129,2.1652,41.3856,500,1754425202
20944132,2.1648,41.3854,1000,1754500621
22169859,2.1658,41.3878,3780,1754484181
21273861,2.1774,41.3719,1933,1750016944
20558082,2.192,41.3898,544,1750016944
3334658,-2.713,42.8763,1342,1755533405
121857795,-4.7844,41.6254,874,1745233027
18995970,2.6803,39.5701,954,1714072450
19661571,2.7034,39.5526,6524,1714072451
18765570,2.7002,39.5534,3919,1714072451
18513921,2.712,39.5439,7867,1714072451
18513923,2.7073,39.5434,1000,1714072451
18202369,2.7121,39.5471,2347,1714072451
19866370,2.6775,39.5994,3191,1714072449
18616325,2.6685,39.5879,2927,1714072449
20327171,2.6665,39.5898,1000,1713979706
18972673,2.7187,39.6295,1350,1714072449
12908289,2.1866,41.445,2033,1721514612
64020748,2.6201,39.5805,3526,1730793319
20250370,2.7392,39.5314,1484,1714072453
18663171,2.7226,39.5417,1329,1714072454
19712770,2.7416,39.5244,1000,1714072452
19738370,2.7311,39.5309,1000,1714072453
20502804,2.1892,41.4037,7660,1737677521
13606667,2.1877,41.4893,2076,1750146662
71680532,-3.5771,40.3562,1757,1760784550
99845396,-3.8155,43.4601,3146,1752512582
21971457,2.1951,41.3871,2333,1750016944
20584478,2.1639,41.3853,1000,1737677522
71701780,-3.6053,40.5585,1129,1734017105
71699486,-3.6296,40.5321,959,1760784490
71701770,-3.5857,40.5816,7379,1722769030
71692298,-3.6369,40.5332,567,1760784490
71692318,-3.6395,40.5306,6927,1741795322
71685898,-3.614,40.5604,7208,1733468529
73755658,-3.5996,40.5613,3556,1734017105
71889665,-3.6774,40.3667,1644,1760941274
64004364,2.6542,39.5967,1449,1730793318
107009281,-5.9452,37.3987,1000,1757449682
870410,-3.6912,40.3199,723,1759493640
13514498,2.1442,41.3592,1000,1726686724
12878849,2.1404,41.3684,560,1726686725
13570561,2.1443,41.3662,1000,1726686723
13570560,2.1491,41.3716,1136,1726686725
52747,-3.6687,40.3503,1544,1760531462
12804865,2.1264,41.3852,1000,1716579605
71759370,-3.6706,40.3627,1446,1733995503
71697674,-3.6404,40.5317,1000,1760784486
12801025,2.1568,41.3864,3995,1725099855
13570058,2.1978,41.4493,793,1750146662
12956928,2.1488,41.3791,500,1743614041
20864774,2.1291,41.3781,1000,1751483042
72910600,-3.6004,40.5558,4151,1722768782
72910593,-3.5916,40.572,8395,1722768782
52075267,-2.0212,43.2937,3008,1714408142
20685060,2.1984,41.387,1227,1750016944
85634049,-5.6668,43.5127,1436,1744393743
85198850,-5.6482,43.5207,849,1744393743
71701790,-3.6647,40.5977,12334,1714143306
206196234,-1.9807,43.3108,1000,1727512769
117765991,-0.3412,39.461,1306,1756283643
18765569,2.6931,39.5606,1045,1714072450
20540517,2.1433,41.4168,1011,1737544262
20540519,2.1319,41.4159,1289,1736633761
20620554,2.2555,41.5596,4079,1734478805
20623902,2.2642,41.5614,3043,1757053510
51205643,-5.6819,43.5174,6374,1734015669
20490086,2.2025,41.4516,600,1731961922
22580227,2.0662,41.3228,6038,1750016943
21223937,2.0641,41.3085,7247,1750016942
22147585,2.074,41.3244,1531,1750016943
22147587,2.0672,41.3189,6251,1750016942
22427393,2.0892,41.3519,630,1756757222
22480385,2.0909,41.3368,3512,1750016943
21660162,2.0866,41.3446,1951,1750016943
21633797,2.1867,41.3935,658,1750016944
21273860,2.1793,41.3752,1242,1750016944
20636934,2.1807,41.3991,500,1750016944
22580226,2.0769,41.3237,1651,1750016943
21223938,2.0579,41.3023,3895,1750016942
20662529,2.1739,41.4013,2206,1731272101
73731358,-3.6028,40.3814,2225,1760784551
135843091,-2.7866,42.8156,1276,1755533404
3232259,-2.7359,42.8633,982,1755533405
73349121,-3.6047,40.5528,6094,1722768782
3232258,-2.7462,42.8489,2810,1755533405
3897859,-2.6842,42.881,1179,1755533405
3283457,-2.6523,42.8784,6891,1755533405
3872257,-2.699,42.8802,1668,1755533405
3769859,-2.73,42.8651,1000,1755533405
3513859,-2.713,42.872,1909,1755533405
52203266,-2.018,43.2982,2960,1714408142
51614466,-2.0177,43.2899,3237,1714325766
71890954,-3.5923,40.3726,4022,1760784551
73731348,-3.5994,40.3764,3323,1760784551
20584480,2.1669,41.3864,1000,1733504942
20507678,2.1361,41.3758,3676,1732994036
20946789,2.0977,41.4748,8683,1716242342
18048769,2.6894,39.5621,1069,1714072450
243825785,0.8004,42.7009,1359,1724855648
12890880,2.159,41.3824,1454,1725099856
12957185,2.1663,41.3906,1000,1716760382
89621002,-15.602,27.7476,653,1754562373
20490087,2.1923,41.4475,3362,1716242342
13286410,2.1428,41.4907,3035,1745229843
12801024,2.1578,41.3873,3876,1725099855
12917762,2.1501,41.4314,1000,1721514612
71915787,-3.742,40.6542,3316,1721606107
20624414,2.095,41.5257,9770,1733728281
20518932,2.1502,41.3761,1158,1737677522
89846292,-15.4464,28.1281,577,1754562369
89841428,-15.3992,28.03,989,1754562370
89850890,-15.5794,27.772,2187,1754562365
71708436,-3.6196,40.4117,1653,1722257230
71725578,-3.6157,40.3895,500,1736078762
71847966,-3.6716,40.3797,1000,1731776762
71712522,-3.608,40.3868,1512,1760784551
71721226,-3.6385,40.3807,2003,1748238483
73730314,-3.6307,40.3923,1000,1736078763
73730324,-3.6212,40.3911,500,1760784551
71791124,-3.688,40.4239,1000,1738439101
73789972,-3.4522,40.3053,1000,1736078761
71704350,-3.5747,40.4669,1000,1720209315
73789982,-3.4697,40.3007,1370,1736078761
71704340,-3.5735,40.471,1334,1720209316
71708170,-3.5757,40.4628,614,1720209315
71681546,-3.6328,40.5314,1000,1760784490
73771786,-3.6605,40.53,604,1760784561
74007070,-3.6569,40.5304,1007,1760784561
73998110,-3.669,40.5433,2272,1760784543
71700766,-3.6601,40.5367,1645,1760784561
71841044,-3.615,40.5361,1084,1717523163
73771796,-3.6565,40.5256,2044,1760784561
73998090,-3.6575,40.5532,912,1760784561
71695636,-3.6398,40.5542,1000,1717523164
71688724,-3.6555,40.548,500,1760784544
71700746,-3.6534,40.5419,626,1760784543
71697684,-3.641,40.527,1000,1751823243
71835678,-3.6373,40.5548,1258,1717523164
71835668,-3.6299,40.553,1000,1717523164
71688714,-3.6556,40.5469,1000,1760784544
71697694,-3.6452,40.5269,1592,1751823243
71857172,-3.6223,40.5403,1448,1715355488
71839253,-3.6541,40.5275,2191,1760784560
74007050,-3.6545,40.5317,1000,1760784560
71695646,-3.6463,40.5554,1000,1717523164
71692564,-3.6208,40.5501,1000,1717523163
71841034,-3.6192,40.5479,1000,1717523163
74007060,-3.6524,40.5291,500,1760784561
74328094,-4.4196,36.7521,1441,1714332022
74301726,-5.0701,36.4512,3841,1748332381
74307614,-4.4551,36.7435,1000,1714332022
74291486,-4.5135,36.6302,3093,1743981845
74326794,-4.5705,36.5998,1650,1743981845
74377758,-4.1192,36.752,1442,1714332019
74295838,-4.4978,36.6437,2556,1743981845
74337822,-4.5448,36.6066,722,1743981845
74280468,-5.1089,36.4362,1000,1748332381
74337802,-4.5319,36.6112,944,1743981845
74311690,-4.4414,36.708,1000,1726033562
74325259,-5.0029,36.5017,1000,1743981846
74280478,-5.1127,36.4347,1723,1748332382
74307594,-4.4368,36.7479,1993,1714332022
74328084,-4.4049,36.743,1000,1714332022
74314506,-4.099,36.7581,1000,1714332018
74335754,-3.8621,36.764,1738,1714332017
74335764,-3.8497,36.7607,1000,1714332017
74291466,-4.5049,36.6433,2115,1743981845
74330378,-5.1882,36.4004,7882,1748332381
74317342,-4.4887,36.675,1000,1714332008
74295306,-4.5133,36.7111,1365,1743981844
74356756,-4.4177,36.7136,2943,1759932602
74334485,-4.4728,36.7532,3867,1714332023
74341396,-4.4174,36.719,1000,1759932602
74295326,-4.5158,36.7082,4811,1743981844
76807434,-1.1615,38.021,4025,1740085751
74341406,-4.4246,36.717,500,1750506123
79367198,-1.6972,42.8434,3315,1735316406
79385630,-1.6794,42.8337,500,1735316406
84492308,-5.9216,43.5525,1576,1755867901
84503583,-5.855,43.5456,883,1759581722
84508171,-5.9269,43.5453,1705,1737892149
84493066,-5.9301,43.5532,500,1755867901
84493322,-5.8312,43.3674,1164,1717178825
84482570,-5.83,43.3709,967,1717178824
84527380,-5.8585,43.3643,1000,1714837090
79372831,-2.196,42.8832,7108,1757151972
84487434,-5.9229,43.5514,500,1739659083
84487966,-5.9282,43.5573,1000,1755867900
84493332,-5.8341,43.3608,1000,1722520982
84494858,-5.8473,43.3601,1214,1753722841
79375903,-1.8449,42.9148,2093,1734628453
79384350,-1.6922,42.8391,1357,1720210455
84508683,-5.8661,43.548,1000,1759581723
84487444,-5.9159,43.5452,996,1760792347
84481044,-5.8405,43.3556,500,1760792342
84482314,-5.8138,43.3725,2917,1717153442
84480788,-5.8263,43.3625,1696,1724176172
84482058,-5.849,43.3626,1000,1746643262
84526346,-5.8475,43.3666,1000,1746170761
79375883,-1.8298,42.9275,1463,1735316405
79375893,-1.8319,42.9104,1228,1735316405
84491796,-5.9083,43.5511,7293,1755095523
84489502,-5.9312,43.5574,527,1760792348
84485140,-5.672,43.5358,1000,1755190742
84481300,-5.8579,43.3616,710,1745513221
84494878,-5.8492,43.3607,643,1760532602
84538398,-5.8435,43.3556,1000,1752059108
79375647,-1.7529,42.872,1629,1735557783
84487690,-5.9201,43.5706,803,1758385237
84485130,-5.6733,43.5393,961,1755190742
84496148,-5.891,43.5556,1000,1758385237
84489492,-5.9182,43.555,3067,1755095523
84491294,-5.6754,43.528,500,1755190742
84496394,-5.8331,43.3719,991,1717178824
84481034,-5.8393,43.3599,709,1754320759
84481054,-5.8473,43.3534,1000,1746643261
89877258,-15.4428,28.1237,1067,1754562369
79385620,-1.6728,42.8314,1000,1735316406
84488724,-5.9299,43.5574,1726,1760792348
84503573,-5.8382,43.5375,1909,1760792346
84485918,-5.8541,43.3515,902,1756130193
84485662,-5.8521,43.3661,500,1760718902
84492810,-5.843,43.3629,2693,1752059108
84538378,-5.8433,43.3591,984,1752059108
84538388,-5.8363,43.3594,953,1760792342
87040532,-4.3118,42.0075,7500,1757147350
87040542,-4.3495,41.9918,3415,1757147349
89841950,-15.4446,28.1144,1432,1754562369
89841930,-15.4424,28.1223,1841,1754562369
89603092,-15.4235,28.1116,1000,1715836202
89603082,-15.4263,28.1177,1000,1715836202
89604884,-15.4159,28.0784,1000,1743616206
89846282,-15.4439,28.1308,500,1754562368
89894410,-15.4132,28.1002,1292,1754562362
89891850,-15.4134,28.102,1150,1740686282
89849876,-15.4366,28.1369,1507,1754562369
89848350,-15.4314,27.8568,2194,1754562371
89621780,-15.4541,27.8259,1259,1754562371
89839882,-15.6083,27.7609,1321,1754562372
89843732,-15.3912,27.9794,1000,1754562370
89615370,-15.3921,27.9973,839,1754562370
89845268,-15.3883,27.9574,1208,1754562370
89845258,-15.3901,27.967,1283,1754562370
89843742,-15.3907,27.9707,1277,1754562370
89615390,-15.3923,27.9884,933,1754562370
89872405,-13.492,29.0002,1000,1736798346
89862667,-13.5477,29.031,4752,1745051822
89838859,-13.8617,28.7484,3041,1736886284
89851156,-13.8786,28.4784,6702,1727373241
89879838,-13.4882,29.0005,748,1736798346
89604874,-15.4155,28.0876,717,1754562362
89887774,-15.4274,28.1138,1000,1715836142
89877002,-15.4167,28.1091,500,1754562361
89877524,-15.4231,28.1467,1000,1741115941
89891860,-15.4122,28.0974,1263,1715836083
89849354,-15.4165,28.0817,1000,1754562362
89622538,-15.4359,27.8468,1332,1754562371
89848340,-15.4292,27.8577,1854,1754562371
89850900,-15.5599,27.7693,1523,1754562365
89620490,-15.5856,27.769,1846,1753754102
89621012,-15.595,27.7392,1428,1754562373
89636372,-13.5212,28.9809,579,1736798346
89635851,-13.6628,28.9213,1002,1736449564
89857557,-13.8321,28.8634,1000,1736798358
89845770,-13.5423,29.004,1000,1736449623
89635871,-13.6939,28.9263,2670,1742817182
92161290,-8.7279,42.2432,6544,1720365374
89612820,-15.4205,28.117,1000,1715704264
89889566,-15.4466,28.0838,1150,1754562369
89887764,-15.4244,28.1118,1000,1715836142
89851658,-15.4157,28.0834,1000,1754562362
89871380,-15.412,28.1001,974,1741115941
89894420,-15.4143,28.09,1000,1754562362
89622036,-15.4281,27.915,2445,1743485641
89622548,-15.4406,27.8385,814,1754562371
89848330,-15.4207,27.8715,1037,1754562371
89843210,-15.4081,27.8905,1807,1754562371
89858581,-15.5918,27.7702,1611,1754562365
89865749,-15.4031,27.9231,2025,1743616206
89843722,-15.3915,27.9812,1184,1715835902
89850378,-15.5948,27.7647,1790,1754562366
89858059,-13.5865,28.9577,535,1745051828
89859605,-13.6684,28.9316,4956,1745051831
89636382,-13.5332,28.9764,1629,1736798348
89858079,-13.5986,28.9524,2569,1745051830
89867039,-13.843,28.8435,4496,1736886309
89618708,-13.5455,28.9624,1000,1736449625
89838869,-13.8579,28.7329,1569,1736886286
89871883,-13.6942,28.9298,4223,1736886312
89633290,-15.4648,28.0921,3587,1754562367
89630750,-15.4915,28.1071,1000,1754562367
89635594,-15.4148,28.0993,500,1754562362
89844254,-15.4528,28.13,2220,1754562369
89846302,-15.449,28.1274,1345,1754562368
89871391,-15.415,28.0992,500,1754562362
89849630,-15.4506,28.1345,2651,1754562368
89616906,-15.3922,27.9855,1000,1754562370
89616916,-15.391,27.9814,1000,1754562370
89841418,-15.4022,28.0324,6197,1754562370
89850142,-13.5428,28.9668,1000,1736449624
89850122,-13.544,28.9688,1000,1742648282
89618974,-13.5918,28.953,5796,1745051822
89889044,-15.4437,28.1021,1276,1754562369
89622794,-15.4296,28.1423,531,1741115941
89877012,-15.4051,28.0686,4832,1715836202
89847582,-15.4487,28.1294,1343,1754562369
89849364,-15.4163,28.084,2705,1743616206
89891870,-15.4127,28.095,1510,1754562362
89853972,-15.4176,27.9141,2019,1743485641
89620234,-15.6059,27.764,972,1754562372
89863179,-13.6611,28.9326,4875,1736798343
89874186,-13.8802,28.5069,1027,1728229447
89867019,-13.8303,28.9095,2025,1742827862
89879818,-13.5055,29.0148,2716,1736798347
89858069,-13.5693,28.958,2103,1745051829
89877514,-15.4225,28.1494,1200,1741115941
89851668,-15.4137,28.0655,3515,1754562362
89844234,-15.44,28.1345,1000,1754562369
89620244,-15.5962,27.7643,635,1754562366
89621022,-15.5996,27.741,500,1754562373
89875231,-15.5644,27.7606,1932,1754562372
89619743,-13.6302,28.9554,3970,1745051827
89862933,-13.8449,28.7165,3813,1736886289
89619210,-13.864,28.4969,1000,1736886296
89850132,-13.5324,28.962,4386,1736449624
89863189,-13.6494,28.9269,2535,1736798343
89855243,-13.622,28.9469,1524,1745051831
89619220,-13.8622,28.4963,1000,1736886296
89619723,-13.5962,28.9574,4371,1742654761
89881365,-13.9757,28.3359,19023,1743175093
89855263,-13.6336,28.9333,1372,1745051831
99840798,-3.8059,43.4599,3633,1756207081
99847188,-3.7854,43.4713,1122,1752751142
99847444,-3.8026,43.4619,603,1756207081
102400778,-3.9536,41.0313,16317,1744485422
99840788,-3.8081,43.4602,1360,1756207081
99847434,-3.8081,43.4627,1000,1756207081
102400798,-3.9714,41.016,16809,1744485422
99847710,-3.7992,43.4635,1000,1753899841
99846686,-3.8188,43.4525,3170,1753950481
105052191,-5.9573,37.4377,1681,1719586756
105016862,-5.9449,37.2926,651,1740394326
105002004,-5.9132,37.248,2705,1740394326
104997652,-5.9735,37.4324,1000,1746368649
105002762,-5.932,37.2901,1000,1740394326
104998922,-5.9639,37.432,1000,1746368648
105001994,-5.9249,37.2704,1193,1743745640
105016852,-5.9365,37.2905,1000,1740394326
110097439,0.5066,40.779,8633,1718613253
110091530,1.2203,41.1431,3054,1717793281
105042964,-5.9028,37.271,2495,1740394326
105030932,-5.9124,37.2839,1691,1740394326
105042954,-5.9177,37.2796,1000,1740394326
110114079,0.5379,40.7269,5093,1718613252
105062676,-5.8881,37.2546,3297,1740394326
110087444,1.2561,41.1169,1000,1755514086
110097685,1.3091,41.1308,1622,1755542162
110088970,1.2528,41.1185,500,1755514086
110097429,0.6315,40.7571,14286,1718613246
110088714,1.2601,41.1151,1000,1755542162
110091540,1.2395,41.1442,1291,1718613274
110081566,0.512,40.8082,2206,1718613253
110088734,1.2561,41.1166,1093,1755514086
110085898,1.2986,41.1492,3552,1718613275
110085918,1.2921,41.1321,500,1755542162
117842442,-0.377,39.1913,15238,1716361037
117818644,-0.374,39.4755,831,1733061123
38401546,-0.8546,41.6788,541,1745233094
38423306,-0.8669,41.6524,1064,1746610561
38479114,-0.875,41.6495,658,1747568341
38423307,-0.8672,41.6487,605,1747568341
38444043,-0.8592,41.6454,500,1754045162
38414602,-0.9715,41.6924,765,1745233092
38414604,-0.9858,41.6936,1977,1745233092
38414346,-0.9479,41.6836,1521,1745233093
38416395,-0.8198,41.6713,1000,1745233094
38490378,-0.8173,41.6698,578,1745233094
38479115,-0.8721,41.6473,882,1747568341
38405900,-0.8645,41.6475,500,1747568341
38493707,-0.9758,41.6954,5435,1727759705
51202058,-5.6542,43.5376,1000,1734015669
