cell,lon,lat,range,updated
72911874,-3.7139,40.4293,1428,1744050061
72911875,-3.7168,40.4321,1000,1744050061
161035,-3.7266,40.3216,1205,1744640770
987914,-3.7374,40.3059,8790,1744640770
987659,-3.7109,40.3231,6616,1715639762
131330,-3.6662,40.4609,1143,1759066682
29441,-3.667,40.459,500,1759054322
47104,-3.6498,40.4863,802,1736929921
73780737,-3.6491,40.3803,5178,1760941275
73449986,-3.5773,40.4639,1000,1744148102
139786,-3.6698,40.4917,1000,1759562942
71698708,-3.6109,40.5442,1000,1715355488
71698718,-3.6139,40.541,9724,1717523163
72246787,-3.6278,40.396,1000,1760941275
71700500,-3.6606,40.5109,2091,1751823242
71686410,-3.6558,40.5223,2829,1760784560
72914178,-3.595,40.5578,7070,1722768782
243724,-3.726,40.3333,3401,1744640771
161034,-3.7274,40.3262,2608,1744640771
71686420,-3.6571,40.5115,705,1760784555
71828500,-3.6443,40.5303,500,1760784490
71686430,-3.659,40.5156,3033,1760784560
73798666,-3.6965,40.4213,1000,1732906204
71791134,-3.6908,40.4254,1000,1738439101
71890964,-3.5769,40.3673,1660,1760784551
71828490,-3.6407,40.5328,656,1760784490
71775774,-3.6846,40.4204,511,1732906204
71697438,-3.6634,40.4984,503,1760784560
71712542,-3.6121,40.3886,509,1760784551
71680532,-3.5771,40.3562,1757,1760784550
71701780,-3.6053,40.5585,1129,1734017105
71699486,-3.6296,40.5321,959,1760784490
71701770,-3.5857,40.5816,7379,1722769030
71692298,-3.6369,40.5332,567,1760784490
71692318,-3.6395,40.5306,6927,1741795322
71685898,-3.614,40.5604,7208,1733468529
73755658,-3.5996,40.5613,3556,1734017105
71889665,-3.6774,40.3667,1644,1760941274
870410,-3.6912,40.3199,723,1759493640
52747,-3.6687,40.3503,1544,1760531462
71759370,-3.6706,40.3627,1446,1733995503
71697674,-3.6404,40.5317,1000,1760784486
72910600,-3.6004,40.5558,4151,1722768782
72910593,-3.5916,40.572,8395,1722768782
71701790,-3.6647,40.5977,12334,1714143306
73731358,-3.6028,40.3814,2225,1760784551
73349121,-3.6047,40.5528,6094,1722768782
71890954,-3.5923,40.3726,4022,1760784551
73731348,-3.5994,40.3764,3323,1760784551
71915787,-3.742,40.6542,3316,1721606107
71708436,-3.6196,40.4117,1653,1722257230
71725578,-3.6157,40.3895,500,1736078762
71847966,-3.6716,40.3797,1000,1731776762
71712522,-3.608,40.3868,1512,1760784551
71721226,-3.6385,40.3807,2003,1748238483
73730314,-3.6307,40.3923,1000,1736078763
73730324,-3.6212,40.3911,500,1760784551
71791124,-3.688,40.4239,1000,1738439101
73789972,-3.4522,40.3053,1000,1736078761
71704350,-3.5747,40.4669,1000,1720209315
73789982,-3.4697,40.3007,1370,1736078761
71704340,-3.5735,40.471,1334,1720209316
71708170,-3.5757,40.4628,614,1720209315
71681546,-3.6328,40.5314,1000,1760784490
73771786,-3.6605,40.53,604,1760784561
74007070,-3.6569,40.5304,1007,1760784561
73998110,-3.669,40.5433,2272,1760784543
71700766,-3.6601,40.5367,1645,1760784561
71841044,-3.615,40.5361,1084,1717523163
73771796,-3.6565,40.5256,2044,1760784561
73998090,-3.6575,40.5532,912,1760784561
